OID_CD119_20|GEOID_CD119_20|NAMELSAD_CD119_20|AREALAND_CD119_20|AREAWATER_CD119_20|MTFCC_CD119_20|FUNCSTAT_CD119_20|OID_AIANNH_20|GEOID_AIANNH_20|NAMELSAD_AIANNH_20|AREALAND_AIANNH_20|AREAWATER_AIANNH_20|MTFCC_AIANNH_20|CLASSFP_AIANNH_20|FUNCSTAT_AIANNH_20|AREALAND_PART|AREAWATER_PART
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104041|6160|Atmautluak ANVSA|1565431|1164413|G2130|E1|S|1565431|1164413
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519053121089|6165|Atqasuk ANVSA|101319315|9365008|G2130|E1|S|101319315|9365008
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519053121090|6175|Barrow ANVSA|48614921|7013815|G2130|E1|S|48614921|7013815
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886979|6190|Beaver ANVSA|53142252|1362789|G2130|E1|S|53142252|1362789
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045279847|6195|Belkofski ANVSA|6911440|2007141|G2130|E1|S|6911440|2007141
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104042|6205|Bethel ANVSA|115273171|14508927|G2130|E1|S|115273171|14508927
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519064048018|6225|Bill Moore's ANVSA|6556865|0|G2130|E1|S|6556865|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886980|6235|Birch Creek ANVSA|20900149|545229|G2130|E1|S|20900149|545229
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051328853|6240|Brevig Mission ANVSA|6299190|206572|G2130|E1|S|6299190|206572
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051352986|6250|Buckland ANVSA|2205782|385080|G2130|E1|S|2205782|385080
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045518412|6255|Cantwell ANVSA|261826375|150364|G2130|E1|S|261826375|150364
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|251903716731400|6257|Canyon Village ANVSA|79690839|8157677|G2130|E1|S|79690839|8157677
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886981|6265|Chalkyitsik ANVSA|22022281|667826|G2130|E1|S|22022281|667826
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104043|6275|Chefornak ANVSA|13560880|1951696|G2130|E1|S|13560880|1951696
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190510048646|6280|Chenega ANVSA|75848955|716582|G2130|E1|S|75848955|716582
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519064048019|6285|Chevak ANVSA|2961595|0|G2130|E1|S|2961595|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045842527|6290|Chickaloon ANVSA|15428984245|157803194|G2130|E1|S|15428984245|157803194
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045769570|6295|Chignik ANVSA|28352067|12704462|G2130|E1|S|28352067|12704462
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045769571|6300|Chignik Lagoon ANVSA|34319191|0|G2130|E1|S|34319191|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045769572|6305|Chignik Lake ANVSA|40605809|9482720|G2130|E1|S|40605809|9482720
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519053176453|6310|Chilkat ANVSA|3948242|1361999|G2130|E1|S|3948242|1361999
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045122471|6315|Chilkoot ANVSA|1223953|0|G2130|E1|S|1223953|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190510048647|6325|Chistochina ANVSA|69332417|63188|G2130|E1|S|69332417|63188
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190510048648|6330|Chitina ANVSA|308832261|476310|G2130|E1|S|308832261|476310
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104044|6335|Chuathbaluk ANVSA|11576099|4543934|G2130|E1|S|11576099|4543934
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519064048020|6340|Chuloonawick ANVSA|92519994|26596223|G2130|E1|S|92519994|26596223
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886982|6350|Circle ANVSA|274634016|1398608|G2130|E1|S|274634016|1398608
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045529106|6360|Clarks Point ANVSA|8609624|2033385|G2130|E1|S|8609624|2033385
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190510048649|6365|Copper Center ANVSA|39000397|26445|G2130|E1|S|39000397|26445
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051328854|6380|Council ANVSA|55014133|2345326|G2130|E1|S|55014133|2345326
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051387999|6385|Craig ANVSA|36262117|7300139|G2130|E1|S|36262117|7300139
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104045|6390|Crooked Creek ANVSA|258545720|19588903|G2130|E1|S|258545720|19588903
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051352987|6400|Deering ANVSA|12991931|189708|G2130|E1|S|12991931|189708
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045529107|6405|Dillingham ANVSA|183720599|7184748|G2130|E1|S|183720599|7184748
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519063849585|6415|Dot Lake ANVSA|11332509|0|G2130|E1|S|11332509|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045059614|6420|Douglas ANVSA|198424119|102630|G2130|E1|S|198424119|102630
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519063849586|6430|Eagle ANVSA|44053517|0|G2130|E1|S|44053517|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104046|6440|Eek ANVSA|1677566|242697|G2130|E1|S|1677566|242697
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045769573|6445|Egegik ANVSA|76536210|98729602|G2130|E1|S|76536210|98729602
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045412001|6450|Eklutna ANVSA|11685276|10414294|G2130|E1|S|11685276|10414294
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045529108|6455|Ekuk ANVSA|11150319|0|G2130|E1|S|11150319|0
